Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
2198,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2011,Euro 3,В 321 КР 178
2199,"ООО ""Петербургская Транспортная Компания""",К-163,ПАЗ 320402-05,СВ,2011,Euro 3,В 322 КР 178
2200,"ООО ""Петербургская Транспортная Компания""",К-163,ПАЗ 320402-05,СВ,2011,Euro 3,В 323 КР 178
2201,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2011,Euro 3,В 324 КР 178
2202,"ООО ""Петербургская Транспортная Компания""",К-163,ПАЗ 320402-05,СВ,2011,Euro 3,В 325 КР 178
2203,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 326 КР 178
2204,"ООО ""Петербургская Транспортная Компания""",К-163,ПАЗ 320402-05,СВ,2011,Euro 3,В 327 КР 178
2205,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 328 КР 178
2206,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 329 КР 178
2207,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 330 КР 178
2208,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 343 КР 178
2209,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 344 КР 178
2210,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 345 КР 178
2211,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 346 КР 178
2212,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 347 КР 178
2213,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 348 КР 178
2214,"ООО ""Петербургская Транспортная Компания""",К-28к,ПАЗ 320402-05,СВ,2011,Euro 3,В 349 КР 178
2215,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 350 КР 178
2216,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 351 КР 178
2217,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 352 КР 178
2218,"ООО ""Петербургская Транспортная Компания""",К-86,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 352 КС 178
2219,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 353 КР 178
2220,"ООО ""Петербургская Транспортная Компания""",К-86,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 353 КС 178
2221,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 354 КС 178
2222,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 355 КР 178
2223,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 355 КС 178
2224,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 356 КР 178
2225,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 356 КС 178
2226,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2011,Euro 3,В 357 КР 178
2227,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 357 КС 178
2228,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 358 КР 178
2229,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 358 КС 178
2230,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 359 КР 178
2231,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 360 КР 178
2232,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 361 КР 178
2233,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 362 КР 178
2234,"ООО ""Петербургская Транспортная Компания""",К-137,ПАЗ 320402-05,СВ,2011,Euro 3,В 363 КР 178
2235,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 364 КР 178
2236,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 365 КР 178
2237,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 366 КР 178
2238,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 367 КР 178
2239,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2011,Euro 3,В 368 КР 178
2240,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 379 КС 178
2241,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 380 КС 178
2242,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 381 КС 178
2243,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 382 КС 178
2244,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 383 КС 178
2245,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 384 КС 178
2246,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 4,В 385 КС 178
2247,"ООО ""Петербургская Транспортная Компания""",К-359А,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 386 КС 178
2248,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 387 КС 178
2249,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 388 КС 178
2250,"ООО ""Петербургская Транспортная Компания""",К-359Б,IVECO DAILY 50C15VH (2227UU),СВ,2011,Euro 3,В 389 КС 178
2251,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 393 КР 178
2252,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 394 КР 178
2253,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 395 КР 178
2254,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 396 КР 178
2255,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 397 КР 178
2256,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 398 КР 178
2257,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 399 КР 178
2258,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 400 КР 178
2259,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 401 КР 178
2260,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 402 КР 178
2261,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 403 КР 178
2262,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 404 КР 178
2263,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 405 КР 178
2264,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-05 (АКПП),СВ,2013,Euro 3,В 405 СС 178
2265,"ООО ""Петербургская Транспортная Компания""",К-43,ПАЗ 320402-05,СВ,2012,Euro 3,В 406 КР 178
2266,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05 (АКПП),СВ,2013,Euro 3,В 406 СС 178
2267,"ООО ""Петербургская Транспортная Компания""",К-114,ПАЗ 320402-05,СВ,2012,Euro 3,В 407 КР 178
2268,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 408 КР 178
2269,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 409 КР 178
2270,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 410 КР 178
2271,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 411 КР 178
2272,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 412 КР 178
2273,"ООО ""Петербургская Транспортная Компания""",К-264,ПАЗ 320402-05,СВ,2012,Euro 3,В 413 КР 178
2274,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 414 КР 178
2275,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 415 КР 178
2276,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 416 КР 178
2277,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2012,Euro 3,В 417 КР 178
2278,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 437 КР 178
2279,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 438 КР 178
2280,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 439 КР 178
2281,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 440 КР 178
2282,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 441 КР 178
2283,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 442 КР 178
2284,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 443 КР 178
2285,"ООО ""Петербургская Транспортная Компания""",484,МАЗ 103485,БВ,2013,Euro 3,В 443 СС 178
2286,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2012,Euro 3,В 445 КР 178
2287,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 446 КР 178
2288,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 447 КР 178
2289,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 448 КР 178
2290,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2012,Euro 3,В 449 КР 178
2291,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 450 КР 178
2292,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 451 КР 178
2293,"ООО ""Петербургская Транспортная Компания""",484,МАЗ 103485,БВ,2013,Euro 3,В 451 ОТ 178
2294,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 452 КР 178
2295,"ООО ""Петербургская Транспортная Компания""",К-469,ПАЗ 320402-03,СВ,2011,Euro 3,В 452 МА 178
2296,"ООО ""Петербургская Транспортная Компания""",98,МАЗ 103485,БВ,2013,Euro 3,В 452 ОТ 178
2297,"ООО ""Петербургская Транспортная Компания""",К-102,ПАЗ 320402-05,СВ,2012,Euro 3,В 453 КР 178
2298,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-03,СВ,2011,Euro 3,В 453 МА 178
2299,"ООО ""Петербургская Транспортная Компания""",484,МАЗ 103485,БВ,2013,Euro 3,В 453 ОТ 178
2300,"ООО ""Петербургская Транспортная Компания""",К-469,ПАЗ 320402-03,СВ,2011,Euro 3,В 454 МА 178
2301,"ООО ""Петербургская Транспортная Компания""",484,МАЗ 103485,БВ,2013,Euro 4,В 454 ОТ 178
2302,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-03,СВ,2011,Euro 3,В 455 МА 178
2303,"ООО ""Петербургская Транспортная Компания""",484,МАЗ 103485,БВ,2013,Euro 3,В 455 ОТ 178
2304,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-03,СВ,2011,Euro 3,В 456 МА 178
2305,"ООО ""Петербургская Транспортная Компания""",484,МАЗ 103485,БВ,2013,Euro 3,В 456 ОТ 178
2306,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-03,СВ,2011,Euro 3,В 457 МА 178
2307,"ООО ""Петербургская Транспортная Компания""",К-469,ПАЗ 320402-03,СВ,2011,Euro 3,В 458 МА 178
2308,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-03,СВ,2011,Euro 3,В 459 МА 178
2309,"ООО ""Петербургская Транспортная Компания""",К-469,ПАЗ 320402-03,СВ,2011,Euro 3,В 460 МА 178
2310,"ООО ""Петербургская Транспортная Компания""",К-469,ПАЗ 320402-03,СВ,2011,Euro 3,В 461 МА 178
2311,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-03,СВ,2011,Euro 3,В 462 МА 178
2312,"ООО ""Петербургская Транспортная Компания""",К-333,ПАЗ 320402-05,СВ,2012,Euro 3,В 512 МС 178
2313,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-05,СВ,2012,Euro 3,В 513 МС 178
2314,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-05,СВ,2012,Euro 3,В 514 МС 178
2315,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 516 КТ 178
2316,"ООО ""Петербургская Транспортная Компания""",К-333,ПАЗ 320402-05,СВ,2012,Euro 3,В 516 МС 178
2317,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 517 КТ 178
2318,"ООО ""Петербургская Транспортная Компания""",К-333,ПАЗ 320402-05,СВ,2012,Euro 3,В 517 МС 178
2319,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 518 КТ 178
2320,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05,СВ,2012,Euro 3,В 518 МС 178
2321,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 519 КТ 178
2322,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05,СВ,2012,Euro 3,В 519 МС 178
2323,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 520 МС 178
2324,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 521 МС 178
2325,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 522 КТ 178
2326,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 522 МС 178
2327,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 523 КТ 178
2328,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 523 МС 178
2329,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 524 КТ 178
2330,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 524 МС 178
2331,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 525 КТ 178
2332,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 525 МС 178
2333,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 526 КТ 178
2334,"ООО ""Петербургская Транспортная Компания""",К-333,ПАЗ 320402-05,СВ,2012,Euro 3,В 526 МС 178
2335,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 527 КТ 178
2336,"ООО ""Петербургская Транспортная Компания""",К-290,ПАЗ 320402-05,СВ,2012,Euro 3,В 527 МС 178
2337,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 528 КТ 178
2338,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-05,СВ,2012,Euro 3,В 528 МС 178
2339,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 529 КТ 178
2340,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 529 МС 178
2341,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 530 КТ 178
2342,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 530 МС 178
2343,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 531 КТ 178
2344,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 531 МС 178
2345,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 532 КТ 178
2346,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 532 МА 178
2347,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 532 МС 178
2348,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 533 КТ 178
2349,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 533 МА 178
2350,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 534 КТ 178
2351,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 534 МА 178
2352,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 534 МС 178
2353,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 535 КТ 178
2354,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 535 МС 178
2355,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 536 КТ 178
2356,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 536 МА 178
2357,"ООО ""Петербургская Транспортная Компания""",К-333,ПАЗ 320402-05,СВ,2012,Euro 3,В 536 МС 178
2358,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 537 КТ 178
2359,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 537 МА 178
2360,"ООО ""Петербургская Транспортная Компания""",К-169,ПАЗ 320402-05,СВ,2012,Euro 3,В 537 МС 178
2361,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 538 МА 178
2362,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 538 МС 178
2363,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 539 МА 178
2364,"ООО ""Петербургская Транспортная Компания""",К-93,ПАЗ 320402-05,СВ,2012,Euro 3,В 539 МС 178
2365,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 540 КТ 178
2366,"ООО ""Петербургская Транспортная Компания""",К-333,ПАЗ 320402-05,СВ,2012,Euro 3,В 540 МС 178
2367,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 541 КТ 178
2368,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 541 МА 178
2369,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2012,Euro 3,В 541 МС 178
2370,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 542 КТ 178
2371,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 542 МА 178
2372,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2012,Euro 3,В 542 МС 178
2373,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 543 КТ 178
2374,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 543 МА 178
2375,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 544 КТ 178
2376,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 544 МА 178
2377,"ООО ""Петербургская Транспортная Компания""",К-76,ПАЗ 320402-05,СВ,2012,Euro 3,В 545 КТ 178
2378,"ООО ""Петербургская Транспортная Компания""",К-163,ПАЗ 320402-05,СВ,2012,Euro 3,В 546 КТ 178
2379,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 546 МА 178
2380,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 547 КТ 178
2381,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 547 МА 178
2382,"ООО ""Петербургская Транспортная Компания""",к-161,ПАЗ 320402-05,СВ,2012,Euro 3,В 548 КТ 178
2383,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 548 МА 178
2384,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 549 МА 178
2385,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 551 КС 178
2386,"ООО ""Петербургская Транспортная Компания""",К-271,ПАЗ 320402-05,СВ,2011,Euro 3,В 552 КС 178
2387,"ООО ""Петербургская Транспортная Компания""",К-272,ПАЗ 320402-05,СВ,2011,Euro 3,В 553 КС 178
2388,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 554 КС 178
2389,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 556 КС 178
2390,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 557 КС 178
2391,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 558 КС 178
2392,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 559 КС 178
2393,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 560 КС 178
2394,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 561 КС 178
2395,"ООО ""Петербургская Транспортная Компания""",К-193,ПАЗ 320402-05,СВ,2011,Euro 3,В 562 КС 178
2396,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 564 КС 178
2397,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 565 КС 178
2398,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 567 КС 178
2399,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 569 КС 178
2400,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 570 КС 178
2401,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 572 КС 178
2402,"ООО ""Петербургская Транспортная Компания""",К-283,ПАЗ 320402-05,СВ,2011,Euro 3,В 573 КС 178
2403,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05,СВ,2011,Euro 3,В 574 КС 178
2404,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05,СВ,2011,Euro 3,В 575 КС 178
2405,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 601 МВ 178
2406,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05,СВ,2011,Euro 3,В 602 КС 178
2407,"ООО ""Петербургская Транспортная Компания""",к-349,ПАЗ 320402-05,СВ,2011,Euro 3,В 604 КС 178
2408,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 605 КС 178
2409,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 609 МВ 178
2410,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 610 МВ 178
2411,"ООО ""Петербургская Транспортная Компания""",К-226,ПАЗ 320402-05,СВ,2012,Euro 3,В 611 МВ 178
2412,"ООО ""Петербургская Транспортная Компания""",К-288,IVECO DAILY 50C15VH (3265C6),СВ,2011,Euro 3,В 612 МВ 178
2413,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 613 КС 178
2414,"ООО ""Петербургская Транспортная Компания""",К-11к,ПАЗ 320402-05,СВ,2012,Euro 3,В 613 МВ 178
2415,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 614 КС 178
2416,"ООО ""Петербургская Транспортная Компания""",К-20,ПАЗ 320402-05,СВ,2012,Euro 3,В 614 МВ 178
2417,"ООО ""Петербургская Транспортная Компания""",К-116,ПАЗ 320402-05,СВ,2011,Euro 3,В 615 КС 178
